78,82,312,308,317,87
"[0.361663818359375, 0.6309245228767395]","[0.42559030652046204, 0.6224130392074585]","[0.46700987219810486, 0.6222352981567383]","[0.5199253559112549, 0.6301921010017395]","[0.46727320551872253, 0.6262537837028503]","[0.42420271039009094, 0.6264421939849854]"
"[0.3634773790836334, 0.6303465366363525]","[0.4280083179473877, 0.6220333576202393]","[0.4691166281700134, 0.6218305826187134]","[0.5212545394897461, 0.6294463872909546]","[0.4695194959640503, 0.6255824565887451]","[0.4267188310623169, 0.625816822052002]"
"[0.36470237374305725, 0.6309107542037964]","[0.4296039044857025, 0.6223239898681641]","[0.4712190330028534, 0.6220382452011108]","[0.5241550803184509, 0.6297391057014465]","[0.4715689718723297, 0.6258896589279175]","[0.4284197688102722, 0.6261895298957825]"
"[0.36261922121047974, 0.6300698518753052]","[0.4266889691352844, 0.6215366125106812]","[0.4678780436515808, 0.6213374733924866]","[0.5206233859062195, 0.6292990446090698]","[0.46835625171661377, 0.6252794861793518]","[0.4254845678806305, 0.6255087852478027]"
"[0.3626142740249634, 0.6307194828987122]","[0.42674481868743896, 0.6222019791603088]","[0.4678408205509186, 0.6219919323921204]","[0.521026611328125, 0.6298168897628784]","[0.46821945905685425, 0.6254602670669556]","[0.42544129490852356, 0.6256921291351318]"
"[0.36352840065956116, 0.6304669380187988]","[0.4276687800884247, 0.6216322183609009]","[0.4684951603412628, 0.6214234828948975]","[0.5205762386322021, 0.6295527815818787]","[0.46884265542030334, 0.6250222325325012]","[0.42637279629707336, 0.6252691149711609]"
"[0.36312922835350037, 0.6310349702835083]","[0.4288017451763153, 0.622008740901947]","[0.470823734998703, 0.6217537522315979]","[0.5236286520957947, 0.6299375295639038]","[0.4709329903125763, 0.6256933212280273]","[0.4277077913284302, 0.6259911060333252]"
"[0.36305850744247437, 0.6311182975769043]","[0.42724609375, 0.6216780543327332]","[0.46904459595680237, 0.6214776635169983]","[0.5212464332580566, 0.6302505731582642]","[0.46916261315345764, 0.6263751983642578]","[0.4259875416755676, 0.6265918612480164]"
"[0.3627001643180847, 0.6307902336120605]","[0.4267124831676483, 0.621738076210022]","[0.4682878851890564, 0.6215798854827881]","[0.5205706357955933, 0.6301637887954712]","[0.468545138835907, 0.6260785460472107]","[0.4256307780742645, 0.626248300075531]"
"[0.36007624864578247, 0.6308918595314026]","[0.42416912317276, 0.621498167514801]","[0.46637171506881714, 0.6211443543434143]","[0.5205131769180298, 0.6295697689056396]","[0.4666629433631897, 0.6254094839096069]","[0.4232829809188843, 0.6257928609848022]"
"[0.36050522327423096, 0.6301751136779785]","[0.423495888710022, 0.6209772825241089]","[0.4653134346008301, 0.620714545249939]","[0.5197306871414185, 0.629149317741394]","[0.4655047655105591, 0.6249907612800598]","[0.4223521649837494, 0.6252727508544922]"
"[0.36117178201675415, 0.6294921636581421]","[0.4236595034599304, 0.6208602786064148]","[0.4645957946777344, 0.62071293592453]","[0.5187904238700867, 0.6289227604866028]","[0.46481749415397644, 0.6242542862892151]","[0.4224242568016052, 0.6244207620620728]"
"[0.3620956838130951, 0.629075288772583]","[0.42510858178138733, 0.6204214096069336]","[0.4656340777873993, 0.6201447248458862]","[0.5192046165466309, 0.6280174255371094]","[0.4662095308303833, 0.6235858798027039]","[0.42409804463386536, 0.6238933801651001]"
"[0.3608780801296234, 0.6309957504272461]","[0.4241674244403839, 0.6220129132270813]","[0.46550390124320984, 0.6217540502548218]","[0.5193563103675842, 0.6299662590026855]","[0.46581393480300903, 0.6254460215568542]","[0.4230360984802246, 0.6257328987121582]"
"[0.36068642139434814, 0.6311718225479126]","[0.42302554845809937, 0.6219323873519897]","[0.4642535448074341, 0.6215990781784058]","[0.5187423229217529, 0.629865288734436]","[0.46441593766212463, 0.6252469420433044]","[0.42159518599510193, 0.6256104707717896]"
"[0.36128658056259155, 0.6295087933540344]","[0.42290857434272766, 0.620098888874054]","[0.4635739028453827, 0.6197966933250427]","[0.517376720905304, 0.6282640099525452]","[0.46349063515663147, 0.6231240630149841]","[0.4214023947715759, 0.62347012758255]"
"[0.36217325925827026, 0.6303263306617737]","[0.4242624044418335, 0.6207461953163147]","[0.4649219512939453, 0.6204131245613098]","[0.5184284448623657, 0.6289247274398804]","[0.4649457335472107, 0.6238808631896973]","[0.42266371846199036, 0.6242474317550659]"
"[0.3620116710662842, 0.6299155950546265]","[0.4230125844478607, 0.6201294660568237]","[0.4638037085533142, 0.6197417378425598]","[0.5179492831230164, 0.6283543705940247]","[0.46373915672302246, 0.6237683296203613]","[0.42133188247680664, 0.6242004036903381]"
